"p","U:0","U:1","U:2","CH2","CH2NHNH2","CH2NNH2","CH2O","CH3","CH3NHNH","CH3NHNH2","CH3NHNH2L","CH3NN","CH3NNH","CH3NNH2","CH3O","CH3ONO2","CH4","CN","CO","CO2","H","H2","H2O","HCN","HCO","HNC","HNCO","HNO","HNO3","HO2","HONO","N","N2","N2H2","N2O","NCO","NH","NH2","NH3","NNH","NO","NO2","O","OH","PaSR::kappa","T","Yp_CH2","Yp_CH2NHNH2","Yp_CH2NNH2","Yp_CH2O","Yp_CH3","Yp_CH3NHNH","Yp_CH3NHNH2","Yp_CH3NHNH2L","Yp_CH3NN","Yp_CH3NNH","Yp_CH3NNH2","Yp_CH3O","Yp_CH3ONO2","Yp_CH4","Yp_CN","Yp_CO","Yp_CO2","Yp_H","Yp_H2","Yp_H2O","Yp_HCN","Yp_HCO","Yp_HNC","Yp_HNCO","Yp_HNO","Yp_HNO3","Yp_HO2","Yp_HONO","Yp_N","Yp_N2","Yp_N2H2","Yp_N2O","Yp_NCO","Yp_NH","Yp_NH2","Yp_NH3","Yp_NNH","Yp_NO","Yp_NO2","Yp_O","Yp_OH","Ypsum_Liquid","Ypsum_Vapor","Ysum","alphaLiquid","alphaSgs","alphaVapor","alphaVaporSmooth","cellLevel","cellMask_Liquid","cellMask_Vapor","coeffC_MMHEvap","coeffV_MMHEvap","dQ","diffErr_Liquid","diffErr_Vapor","divComp","divPhaseChange","evap_mask","kappaI","mask_LiquidReaction","mask_MMHEvap","muAll","muSgs","omega_LiquidReaction","omega_MMHEvap","overlap","p_rgh","p_vap_MMHEvap","phaseArea","refinementField","rho","rhoAlpha_Liquid","rhoAlpha_Vapor","sigma","xL_MMHEvap","x_MMHEvap","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
99995,0,0,0,6.9759e-33,6.2082e-16,5.4531e-17,2.081e-15,6.3718e-21,1.1697e-20,2.3655e-30,0,2.9941e-24,4.8961e-24,1.7782e-31,2.8389e-31,0,5.3544e-19,1.6091e-34,7.1469e-14,1.0331e-13,4.8046e-20,8.4859e-20,1.0505e-13,2.0598e-21,9.8704e-25,3.875e-24,8.6296e-19,3.0764e-19,8.6794e-27,7.1837e-14,1.59e-24,1.0317e-13,0.067373,2.7306e-15,0.93262,9.4018e-19,4.3134e-20,5.5875e-21,2.217e-19,7.4931e-22,2.5471e-13,1.3513e-14,0.00012178,2.5785e-14,0,1175.2,6.9759e-33,6.2082e-16,5.4531e-17,2.081e-15,6.3718e-21,1.1697e-20,2.3655e-30,0,2.9941e-24,4.8961e-24,1.7782e-31,2.8389e-31,0,5.3544e-19,1.6091e-34,7.1469e-14,1.0331e-13,4.8046e-20,8.4859e-20,1.0505e-13,2.0598e-21,9.8704e-25,3.875e-24,8.6296e-19,3.0764e-19,8.6794e-27,7.1837e-14,1.59e-24,1.0317e-13,0.067373,2.7306e-15,0.93262,9.4018e-19,4.3134e-20,5.5875e-21,2.217e-19,7.4931e-22,2.5471e-13,1.3513e-14,0.00012178,2.5785e-14,0,1.0001,1.0001,0,0,1,1,0,0,1,0,0,0,0,3.1022e-08,-29.014,0.11269,1,5.2521e-05,0,0,4.7611e-05,7.4234e-11,0,0,0,-4.6726,8.21e+06,0,0,0.43366,0,0.43366,0,0,2.1751e-30,1,0,0,0,0.005
99995,0,0.0048226,0.92835,7.6367e-33,5.8107e-16,5.0536e-17,1.9394e-15,7.1673e-21,1.7672e-20,1.5414e-29,0,9.183e-24,1.4805e-23,1.1635e-30,2.8129e-31,0,5.9383e-19,1.5729e-34,6.7794e-14,9.6655e-14,4.5244e-20,8.6042e-20,9.9473e-14,2.0839e-21,9.4673e-25,3.9881e-24,8.5416e-19,3.0524e-19,8.0329e-27,6.307e-14,1.5166e-24,1.0103e-13,0.062685,2.574e-15,0.93729,8.9273e-19,4.1239e-20,6.1346e-21,2.4194e-19,7.1692e-22,2.485e-13,1.3082e-14,0.00012265,2.5157e-14,1,1176.4,7.6367e-33,5.8107e-16,5.0536e-17,1.9394e-15,7.1673e-21,1.7672e-20,1.5414e-29,0,9.183e-24,1.4805e-23,1.1635e-30,2.8129e-31,0,5.9383e-19,1.5729e-34,6.7794e-14,9.6655e-14,4.5244e-20,8.6042e-20,9.9473e-14,2.0839e-21,9.4673e-25,3.9881e-24,8.5416e-19,3.0524e-19,8.0329e-27,6.307e-14,1.5166e-24,1.0103e-13,0.062685,2.574e-15,0.93729,8.9273e-19,4.1239e-20,6.1346e-21,2.4194e-19,7.1692e-22,2.485e-13,1.3082e-14,0.00012265,2.5157e-14,0,1.0001,1.0001,0,6.3571e-08,1,1,1,0,1,0,0,-2.4738e-08,0,1.6612e-08,-8.9184,0.11584,1,-4.9909e-05,0,0,4.7648e-05,6.3571e-08,0,0,0,-4.6174,8.21e+06,0,0.21125,0.43433,0,0.43433,0,0,1.4218e-29,1,0.0001,0,0.0001,0.005
99996,0,0.0090685,1.6797,1.4809e-32,6.0018e-16,5.0006e-17,1.976e-15,1.2395e-20,4.8112e-20,2.3016e-28,0,5.8492e-23,9.377e-23,1.7234e-29,4.1569e-31,0,9.9359e-19,2.186e-34,6.7945e-14,9.1806e-14,4.6581e-20,1.2553e-19,1.0005e-13,2.6614e-21,1.0392e-24,5.3098e-24,9.7592e-19,3.495e-19,7.8071e-27,5.3685e-14,1.7378e-24,9.4331e-14,0.05225,2.6414e-15,0.94769,8.9144e-19,4.4259e-20,9.2572e-21,3.6124e-19,7.6365e-22,2.3453e-13,1.2268e-14,0.00012413,2.7456e-14,1,1179.4,1.4809e-32,6.0018e-16,5.0006e-17,1.976e-15,1.2395e-20,4.8112e-20,2.3016e-28,0,5.8492e-23,9.377e-23,1.7234e-29,4.1569e-31,0,9.9359e-19,2.186e-34,6.7945e-14,9.1806e-14,4.6581e-20,1.2553e-19,1.0005e-13,2.6614e-21,1.0392e-24,5.3098e-24,9.7592e-19,3.495e-19,7.8071e-27,5.3685e-14,1.7378e-24,9.4331e-14,0.05225,2.6414e-15,0.94769,8.9144e-19,4.4259e-20,9.2572e-21,3.6124e-19,7.6365e-22,2.3453e-13,1.2268e-14,0.00012413,2.7456e-14,0,1.0001,1.0001,0,5.7414e-08,1,1,1,0,1,0,0,-2.6341e-08,0,1.8539e-09,10.742,0.12365,1,-6.6885e-05,0,0,4.7737e-05,5.7414e-08,0,0,0,-4.4497,8.21e+06,0,0.17105,0.43575,0,0.43575,0,0,2.1357e-28,1,0.0002,0,0.0002,0.005
99996,0,0.0096645,2.4384,9.1458e-32,1.0129e-15,7.7252e-17,3.2801e-15,4.0179e-20,2.1669e-19,5.6324e-27,0,5.7087e-22,9.3575e-22,4.1549e-28,1.701e-30,0,3.0863e-18,8.7899e-34,9.6521e-14,1.1611e-13,7.5172e-20,3.7501e-19,1.4495e-13,5.7401e-21,1.9573e-24,1.2079e-23,1.6819e-18,6.2012e-19,1.1576e-26,6.4746e-14,4.4828e-24,8.0532e-14,0.037924,4.2075e-15,0.96196,1.2319e-18,7.6942e-20,2.2866e-20,8.8828e-19,1.2893e-21,2.1872e-13,1.1688e-14,0.00012485,4.4712e-14,1,1183.8,9.1458e-32,1.0129e-15,7.7252e-17,3.2801e-15,4.0179e-20,2.1669e-19,5.6324e-27,0,5.7087e-22,9.3575e-22,4.1549e-28,1.701e-30,0,3.0863e-18,8.7899e-34,9.6521e-14,1.1611e-13,7.5172e-20,3.7501e-19,1.4495e-13,5.7401e-21,1.9573e-24,1.2079e-23,1.6819e-18,6.2012e-19,1.1576e-26,6.4746e-14,4.4828e-24,8.0532e-14,0.037924,4.2075e-15,0.96196,1.2319e-18,7.6942e-20,2.2866e-20,8.8828e-19,1.2893e-21,2.1872e-13,1.1688e-14,0.00012485,4.4712e-14,0,1,1,0,6.6856e-08,1,1,0.4,0,1,0,0,-1.5322e-07,0,-9.9394e-09,24.286,0.13627,1,5.867e-05,0,0,4.7872e-05,6.6856e-08,0,0,0,-4.111,8.21e+06,0,0.23116,0.43759,0,0.43759,0,0,5.2705e-27,1,0.0003,0,0.0003,0.005
99996,0,0.0085271,2.7355,2.7241e-31,1.4379e-15,1.0553e-16,4.6438e-15,7.257e-20,4.3745e-19,2.6248e-26,0,1.6357e-21,2.7537e-21,1.9176e-27,4.2589e-30,1.4013e-45,5.4607e-18,2.1422e-33,1.2439e-13,1.4178e-13,1.0405e-19,6.7209e-19,1.8876e-13,8.7258e-21,2.9653e-24,1.8779e-23,2.3111e-18,8.8115e-19,1.6073e-26,8.0415e-14,8.7481e-24,7.3317e-14,0.03201,5.7782e-15,0.96786,1.5554e-18,1.1078e-19,3.5891e-20,1.3986e-18,1.8194e-21,2.1591e-13,1.1767e-14,0.00012456,6.0758e-14,1,1185.8,2.7241e-31,1.4379e-15,1.0553e-16,4.6438e-15,7.257e-20,4.3745e-19,2.6248e-26,0,1.6357e-21,2.7537e-21,1.9176e-27,4.2589e-30,1.4013e-45,5.4607e-18,2.1422e-33,1.2439e-13,1.4178e-13,1.0405e-19,6.7209e-19,1.8876e-13,8.7258e-21,2.9653e-24,1.8779e-23,2.3111e-18,8.8115e-19,1.6073e-26,8.0415e-14,8.7481e-24,7.3317e-14,0.03201,5.7782e-15,0.96786,1.5554e-18,1.1078e-19,3.5891e-20,1.3986e-18,1.8194e-21,2.1591e-13,1.1767e-14,0.00012456,6.0758e-14,0,0.99999,0.99999,0,6.9014e-08,1,1,0,0,1,0,0,-2.4072e-07,0,-7.4982e-09,28.056,0.14202,1,-1.2449e-05,0,0,4.793e-05,6.9014e-08,0,0,0,-3.879,8.21e+06,0,0.27597,0.43833,0,0.43833,0,0,2.4683e-26,1,0.0004,0,0.0004,0.005
99997,0,0.011957,3.36,4.0706e-30,4.5367e-15,3.0774e-16,1.4636e-14,3.6224e-19,2.6554e-18,6.047e-25,0,1.7817e-20,3.1892e-20,4.3596e-26,5.0675e-29,2.6625e-44,2.6092e-17,2.3372e-32,3.1101e-13,3.1571e-13,3.0928e-19,3.395e-18,4.8395e-13,3.0498e-20,1.1122e-23,6.8697e-23,6.4276e-18,2.7046e-18,6.1234e-26,1.9368e-13,6.1843e-23,5.4023e-14,0.019976,1.6829e-14,0.97986,3.6702e-18,3.6159e-19,1.2943e-19,5.1335e-18,5.5971e-21,2.5497e-13,1.5071e-14,0.00012164,1.6764e-13,1,1189.9,4.0706e-30,4.5367e-15,3.0774e-16,1.4636e-14,3.6224e-19,2.6554e-18,6.047e-25,0,1.7817e-20,3.1892e-20,4.3596e-26,5.0675e-29,2.6625e-44,2.6092e-17,2.3372e-32,3.1101e-13,3.1571e-13,3.0928e-19,3.395e-18,4.8395e-13,3.0498e-20,1.1122e-23,6.8697e-23,6.4276e-18,2.7046e-18,6.1234e-26,1.9368e-13,6.1843e-23,5.4023e-14,0.019976,1.6829e-14,0.97986,3.6702e-18,3.6159e-19,1.2943e-19,5.1335e-18,5.5971e-21,2.5497e-13,1.5071e-14,0.00012164,1.6764e-13,0,0.99996,0.99996,0,5.3478e-08,1,1,0,0,1,0,0,-2.6179e-07,0,-1.1345e-08,30.66,0.15499,1,-1.8609e-05,0,0,4.8055e-05,5.3478e-08,0,0,0,-3.2947,8.21e+06,0,0.21107,0.43978,0,0.43978,0,0,5.7186e-25,1,0.0005,0,0.0005,0.005
99997,0,0.00717,3.7461,3.8658e-29,1.21e-14,7.7951e-16,3.9059e-14,1.3109e-18,1.0892e-17,6.8498e-24,0,1.0907e-19,2.078e-19,4.8861e-25,4.1945e-28,3.7415e-43,9.1126e-17,1.7525e-31,6.9884e-13,6.5971e-13,7.9064e-19,1.2692e-17,1.1082e-12,8.5485e-20,3.6001e-23,1.9825e-22,1.5238e-17,6.9473e-18,2.4867e-25,4.3589e-13,3.1809e-22,4.0178e-14,0.013132,4.2234e-14,0.9867,7.8884e-18,9.9315e-19,3.6065e-19,1.4636e-17,1.4527e-20,3.7992e-13,2.3705e-14,0.00011785,3.9745e-13,1,1192.5,3.8658e-29,1.21e-14,7.7951e-16,3.9059e-14,1.3109e-18,1.0892e-17,6.8498e-24,0,1.0907e-19,2.078e-19,4.8861e-25,4.1945e-28,3.7415e-43,9.1126e-17,1.7525e-31,6.9884e-13,6.5971e-13,7.9064e-19,1.2692e-17,1.1082e-12,8.5485e-20,3.6001e-23,1.9825e-22,1.5238e-17,6.9473e-18,2.4867e-25,4.3589e-13,3.1809e-22,4.0178e-14,0.013132,4.2234e-14,0.9867,7.8884e-18,9.9315e-19,3.6065e-19,1.4636e-17,1.4527e-20,3.7992e-13,2.3705e-14,0.00011785,3.9745e-13,0,0.99995,0.99995,0,4.4578e-08,1,1,0,0,1,0,0,-2.7584e-07,0,-1.2183e-08,29.64,0.16366,1,-1.0832e-11,0,0,4.8134e-05,4.4578e-08,0,0,0,-2.7317,8.21e+06,0,0.17197,0.44052,0,0.44052,0,0,6.4998e-24,1,0.0006,0,0.0006,0.005
99998,0,0.00069051,4.0631,4.0639e-28,3.4489e-14,2.1155e-15,1.1135e-13,4.9797e-18,4.6275e-17,7.5915e-23,0,6.6088e-19,1.3463e-18,5.3622e-24,3.9226e-27,7.071e-42,3.3296e-16,1.4623e-30,1.6779e-12,1.4818e-12,2.1629e-18,5.0463e-17,2.7135e-12,2.535e-19,1.4092e-22,6.0242e-22,3.8256e-17,1.8811e-17,1.2797e-24,1.0611e-12,1.7529e-21,2.8676e-14,0.0083384,1.1314e-13,0.9915,1.8127e-17,2.9126e-18,1.0453e-18,4.365e-17,3.9944e-20,7.183e-13,4.599e-14,0.00011317,9.9723e-13,1,1194.5,4.0639e-28,3.4489e-14,2.1155e-15,1.1135e-13,4.9797e-18,4.6275e-17,7.5915e-23,0,6.6088e-19,1.3463e-18,5.3622e-24,3.9226e-27,7.071e-42,3.3296e-16,1.4623e-30,1.6779e-12,1.4818e-12,2.1629e-18,5.0463e-17,2.7135e-12,2.535e-19,1.4092e-22,6.0242e-22,3.8256e-17,1.8811e-17,1.2797e-24,1.0611e-12,1.7529e-21,2.8676e-14,0.0083384,1.1314e-13,0.9915,1.8127e-17,2.9126e-18,1.0453e-18,4.365e-17,3.9944e-20,7.183e-13,4.599e-14,0.00011317,9.9723e-13,0,0.99995,0.99995,0,3.6985e-08,1,1,0,0,1,0,0,-2.8714e-07,0,-1.1852e-08,27.384,0.17066,1,0,0,0,4.8196e-05,3.6985e-08,0,0,0,-2.1067,8.21e+06,0,0.1394,0.44097,0,0.44097,0,0,7.2201e-23,1,0.0007,0,0.0007,0.005
99999,0,-0.0076352,4.3222,4.5674e-27,1.0277e-13,6.0059e-15,3.3162e-13,1.9575e-17,2.0131e-16,8.1666e-22,0,3.9485e-18,8.5961e-18,5.7175e-23,3.9838e-26,1.6078e-40,1.2522e-15,1.3035e-29,4.2082e-12,3.4843e-12,6.1989e-18,2.0913e-16,6.9449e-12,7.8115e-19,7.0291e-22,1.8938e-21,9.9885e-17,5.2571e-17,7.5432e-24,2.7201e-12,1.004e-20,2.0189e-14,0.0051509,3.1654e-13,0.9947,4.3509e-17,8.9113e-18,3.1141e-18,1.3417e-16,1.1397e-19,1.5712e-12,1.0129e-13,0.00010812,2.5988e-12,1,1196.1,4.5674e-27,1.0277e-13,6.0059e-15,3.3162e-13,1.9575e-17,2.0131e-16,8.1666e-22,0,3.9485e-18,8.5961e-18,5.7175e-23,3.9838e-26,1.6078e-40,1.2522e-15,1.3035e-29,4.2082e-12,3.4843e-12,6.1989e-18,2.0913e-16,6.9449e-12,7.8115e-19,7.0291e-22,1.8938e-21,9.9885e-17,5.2571e-17,7.5432e-24,2.7201e-12,1.004e-20,2.0189e-14,0.0051509,3.1654e-13,0.9947,4.3509e-17,8.9113e-18,3.1141e-18,1.3417e-16,1.1397e-19,1.5712e-12,1.0129e-13,0.00010812,2.5988e-12,0,0.99996,0.99996,0,3.068e-08,1,1,0,0,1,0,0,-2.9576e-07,0,-1.0658e-08,24.798,0.176,1,0,0,0,4.8243e-05,3.068e-08,0,0,0,-1.4331,8.21e+06,0,0.11205,0.44122,0,0.44122,0,0,7.7784e-22,1,0.0008,0,0.0008,0.005
99999,0,-0.017274,4.5327,5.354e-26,3.1543e-13,1.7558e-14,1.0166e-12,7.8838e-17,8.8867e-16,8.4912e-21,0,2.3227e-17,5.379e-17,5.8984e-22,4.2863e-25,4.0859e-39,4.7901e-15,1.2057e-28,1.087e-11,8.4397e-12,1.8372e-17,8.8965e-16,1.8314e-11,2.4692e-18,4.4662e-21,6.0824e-21,2.6784e-16,1.4949e-16,4.797e-23,7.228e-12,5.8785e-20,1.5173e-14,0.0031196,9.1184e-13,0.99675,1.0747e-16,2.8025e-17,9.4572e-18,4.2047e-16,3.3298e-19,3.6874e-12,2.3812e-13,0.00010318,6.9483e-12,1,1197.1,5.354e-26,3.1543e-13,1.7558e-14,1.0166e-12,7.8838e-17,8.8867e-16,8.4912e-21,0,2.3227e-17,5.379e-17,5.8984e-22,4.2863e-25,4.0859e-39,4.7901e-15,1.2057e-28,1.087e-11,8.4397e-12,1.8372e-17,8.8965e-16,1.8314e-11,2.4692e-18,4.4662e-21,6.0824e-21,2.6784e-16,1.4949e-16,4.797e-23,7.228e-12,5.8785e-20,1.5173e-14,0.0031196,9.1184e-13,0.99675,1.0747e-16,2.8025e-17,9.4572e-18,4.2047e-16,3.3298e-19,3.6874e-12,2.3812e-13,0.00010318,6.9483e-12,0,0.99997,0.99997,0,2.5395e-08,1,1,0,0,1,0,0,-3.0204e-07,0,-8.9221e-09,22.35,0.1799,1,0,0,0,4.8276e-05,2.5395e-08,0,0,0,-0.72692,8.21e+06,0,0.089027,0.44133,0,0.44133,0,0,8.0949e-21,1,0.0009,0,0.0009,0.005
